基本分类,subtag,Tag,,,discription,Temprature,,,,
分类,小分类,Emotion (EN),情感 (CN),情感 (JP),补充说明,T0.1,T0.3,T0.5,T0.7,T0.9
基本,基本,Joy,喜悦,喜び,,,,,,
基本,基本,Anticipation,期待,期待,,,,,,
基本,基本,Anger,愤怒,怒り,,,,,,
基本,基本,Disgust,厌恶,嫌悪,,,,,,
基本,基本,Sadness,悲伤,悲しみ,,1、tts,,,,
基本,基本,Surprise,惊讶,驚き,,2、expression,,程度,,
基本,基本,Fear,恐惧,恐れ,,,,,,
基本,基本,Trust,信任,信頼,,,,,,
,,,,,,,,,,
追加,情景：状态,Serenity,平静,平穏,,,,,,
追加,情景：状态,Interest,兴趣,興味,,,,,,
追加,情景：状态,Annoyance,烦躁,苛立ち,,1、sample,,,,
追加,情景：状态,Boredom,无聊,退屈,,2、motion,,tag→embedding,,
追加,情景：状态,Pensiveness,沉思,思考,,,,,,
追加,情景：状态,Anxiety,焦虑,不安,,,,,,
追加,情景：状态,Morbidness,病态,病的状態,,,,,,
追加,情景：状态,Ecstasy,狂喜,恍惚,,,,,,
追加,情景：状态,Curiosity,好奇,好奇心,,,,,,
追加,情景：状态,Distraction,走神,動揺,,,,,,
,,,,,,,,,,
追加,情景：对他,Apprehension,担忧,心配,,,,,,
追加,情景：对他,Vigilance,警戒,警戒,,,,,,
,,,,,,,,,,
追加,情景：对他,Admiration,钦佩,感嘆,,,,,,
追加,情景：对他,Disappointment,失望,失望,,,,,,
,,,,,,,,,,
追加,情景：对他,Optimism,乐观,楽観,,,,,,
追加,情景：对他,Pessimism,悲观,悲観,,,,,,
,,,,,,,,,,
追加,情景：对他,Envy,嫉妒,羨望,,,,,,
追加,情景：对他,Cynicism,冷嘲,冷笑,,,,,,
,,,,,,,,,,
追加,情景：对他,Awe,敬畏,畏敬,,,,,,
追加,情景：对他,Contempt,蔑视,軽蔑,,,,,,
,,,,,,,,,,
追加,情景：对他,Submission,服从,服従,,,,,,
追加,情景：对他,Dominance,支配,優位,,,,,,
,,,,,,,,,,
追加,情景：对自,Pride,自豪,誇り,,,,,,
追加,情景：对自,Remorse,自责,自責,,,,,,
,,,,,,,,,,
追加,情景：对自,Shame,羞耻,恥じらい,,,,,,
追加,情景：对自,Despair,绝望/漠然,絶望/呆然,,,,,,
,,,,,,,,,,
追加,情景：对自,Love,爱,愛,,,,,,
追加,情景：对自,Hope,希望,希望,,,,,,
,,,,,,,,,,
忽略,,Sentimentality,感伤,感傷,,,,,,
忽略,,Acceptance,接受,容認,,,,,,
忽略,,Rage,暴怒,激怒,,,,,,
忽略,,Loathing,憎恶,憎悪,,,,,,
忽略,,Grief,悲痛,悲痛,,,,,,
忽略,,Amazement,惊叹,驚嘆,,,,,,
忽略,,Terror,惊恐,恐怖,,,,,,
忽略,,Aggressiveness,攻击性,積極性,,,,,,
忽略,,Outrage,愤慨,憤慨,,,,,,
忽略,,Unbelief,不信,不信,,,,,,
忽略,,Delight,欢喜,歓喜,,,,,,
忽略,,Guilt,罪恶感,罪悪感,,,,,,
